id,fr_text,en_text,difficulty,tags,created_at,updated_at
f3910861-977d-4656-8672-eb1a931708c8,Je dois renouveler mon passeport avant de voyager.,I need to renew my passport before traveling.,medium,administratif,2025-10-19T20:05:01,2025-10-19T20:05:01
d730c068-dd64-4ce6-be03-0455836bbcad,Ils discutent des prochaines élections municipales.,They are discussing the upcoming municipal elections.,medium,politique,2025-10-19T20:05:01,2025-10-19T20:05:01
56ab389b-ce76-4bc1-ba52-c2248062b6ea,Elle prépare un dessert au chocolat pour ses invités.,She's preparing a chocolate dessert for her guests.,medium,cuisine,2025-10-19T20:05:01,2025-10-19T20:05:01
e02e9422-a985-4b6b-817f-de3c0a5b0686,Nous avons planté des fleurs dans le jardin ce matin.,We planted flowers in the garden this morning.,medium,jardinage,2025-10-19T20:05:01,2025-10-19T20:05:01
db0d9bef-2337-4600-a9cc-3be7e40f2229,"Même si la pluie tombait sans cesse, ils décidèrent de continuer leur promenade le long du fleuve.","Even though the rain kept falling, they decided to continue their walk along the river.",hard,"météo,nature",2025-10-19T20:05:01,2025-10-19T20:05:01
4af6b2e4-4507-4d43-8d3c-b912d5bd9a24,Il faudra négocier attentivement le contrat afin d'éviter toute ambiguïté juridique.,The contract will need to be negotiated carefully to avoid any legal ambiguity.,hard,"travail,juridique",2025-10-19T20:05:01,2025-10-19T20:05:01
7764208a-dd58-41bf-a8b0-40d6055f83f3,"Ayant oublié son parapluie, elle improvisa un abri avec son sac et un vieux journal.","Having forgotten her umbrella, she improvised shelter with her bag and an old newspaper.",hard,"quotidien,improvisation",2025-10-19T20:05:01,2025-10-19T20:05:01
2970b63a-9898-4604-a1ae-a72bec79f3db,Le chef a revisité ce plat traditionnel en y ajoutant des épices venues d'Asie.,The chef reinvented this traditional dish by adding spices from Asia.,hard,"cuisine,innovation",2025-10-19T20:05:01,2025-10-19T20:05:01
a7c4b605-4146-42ae-9b95-938ab260f271,Nous devrons analyser les résultats dans leur contexte historique pour comprendre leurs conséquences.,We will need to analyze the results in their historical context to understand their consequences.,hard,"histoire,analyse",2025-10-19T20:05:01,2025-10-19T20:05:01
6590c2c1-e1c5-4f9e-b049-86458c8902ec,"Bien qu'ils aient peu dormi, ils terminèrent le projet avant l'échéance fixée.","Although they slept little, they finished the project before the deadline.",hard,"travail,projet",2025-10-19T20:05:01,2025-10-19T20:05:01
4e37a662-fbbb-4c8a-b348-e44c837c285f,"Si tu avais assisté à la réunion, tu aurais compris les enjeux financiers.","If you had attended the meeting, you would have understood the financial stakes.",hard,"finance,conditionnel",2025-10-19T20:05:01,2025-10-19T20:05:01
446adc95-e2c6-479a-b409-5ed2613f56ea,Elle raconte avec émotion les souvenirs d'enfance passés dans cette maison isolée.,She recounts with emotion the childhood memories spent in that isolated house.,hard,"souvenir,émotion",2025-10-19T20:05:01,2025-10-19T20:05:01
ccd26e0d-3248-4534-8690-ce8b58b7c50c,"Après avoir consulté plusieurs experts, ils ont finalement opté pour une solution durable.","After consulting several experts, they finally opted for a sustainable solution.",hard,"environnement,décision",2025-10-19T20:05:01,2025-10-19T20:05:01
07373fd6-3da8-4517-9ce9-7350e0589199,Le scientifique a démontré l'hypothèse grâce à une série d'expériences minutieuses.,The scientist proved the hypothesis through a series of meticulous experiments.,hard,"science,recherche",2025-10-19T20:05:01,2025-10-19T20:05:01
5a62f357-d0b7-4d17-bb27-0877bd16e55a,"Malgré les obstacles administratifs, l'association a réussi à obtenir les autorisations nécessaires.","Despite administrative obstacles, the association managed to obtain the necessary permits.",hard,"administratif,association",2025-10-19T20:05:01,2025-10-19T20:05:01
5f4e76e1-7ee0-41d8-863d-014e46e2e744,Elle a confié son manuscrit à un éditeur qui a accepté de le publier l'année prochaine.,She entrusted her manuscript to a publisher who agreed to release it next year.,hard,"littérature,édition",2025-10-19T20:05:01,2025-10-19T20:05:01
de0f723b-994c-492e-9ee6-18e2c56356a4,"Nous avions beau insister, il refusait de reconnaître son erreur devant le comité.","We kept insisting, but he refused to acknowledge his mistake in front of the committee.",hard,"travail,conflit",2025-10-19T20:05:01,2025-10-19T20:05:01
37b71ec7-44a6-475c-927e-5e3479a17f5e,"Les voyageurs, fatigués mais enthousiastes, atteignirent enfin le sommet enneigé.","The travelers, tired but enthusiastic, finally reached the snowy summit.",hard,"voyage,montagne",2025-10-19T20:05:01,2025-10-19T20:05:01
0a88c267-76ac-4ed5-9d2d-1e0931caa03a,"Une fois les documents signés, le chantier pourra officiellement commencer.","Once the documents are signed, the construction site can officially begin.",hard,"construction,administratif",2025-10-19T20:05:01,2025-10-19T20:05:01
4156414c-f378-42ff-ac7e-d1bf66a02733,Le directeur espère que cette initiative encouragera l'innovation au sein de l'entreprise.,The director hopes this initiative will encourage innovation within the company.,hard,"entreprise,innovation",2025-10-19T20:05:01,2025-10-19T20:05:01
e5188874-39dd-43c1-98b3-2f3fe42db1eb,Ils ont été impressionnés par la richesse du patrimoine culturel de la région.,They were impressed by the richness of the region's cultural heritage.,hard,"culture,patrimoine",2025-10-19T20:05:01,2025-10-19T20:05:01
800ce248-d83e-4bc6-963c-723046153a2c,"Avant que tu ne partes, pourrais-tu vérifier l'état des réservations pour la semaine prochaine ?","Before you leave, could you check the status of the reservations for next week?",hard,"organisation,travail",2025-10-19T20:05:01,2025-10-19T20:05:01
c5acf12f-16c5-4873-b159-921ebad4c3fb,La conférence a mis en lumière l'importance de la coopération internationale face aux défis climatiques.,The conference highlighted the importance of international cooperation in the face of climate challenges.,hard,"climat,coopération",2025-10-19T20:05:01,2025-10-19T20:05:01
9ad86eca-c2ea-4d47-9826-de9bb4b82c09,"À condition que toutes les parties soient d'accord, nous signerons le partenariat mardi prochain.","Provided all parties agree, we will sign the partnership next Tuesday.",hard,"négociation,entreprise",2025-10-19T20:05:01,2025-10-19T20:05:01
